NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
11131,서울특별시 양천구 신정동,971-24,971,24,리더스파크빌,전세,28.62,202410,16,"17,000",0,3,2017,중앙로 296,202411~202611,신규,-,,
11140,서울특별시 양천구 목동,515-7,515,7,밀레니엄오피스텔,월세,19.14,202410,16,"1,000",45,4,2002,공항대로 640,202410~202610,신규,-,,
11150,서울특별시 서대문구 연희동,218-11,218,11,THE연희힐,월세,18.92,202410,16,"1,000",93,4,2018,동교로 296-42,202411~202511,신규,-,,
11151,서울특별시 관악구 신림동,1421-5,1421,5,(1421-5),월세,13.2,202410,16,"1,000",55,5,1995,남부순환로185길 15,202410~202510,신규,-,,
11158,서울특별시 강남구 역삼동,824-13,824,13,예성I라이프,전세,24.66,202410,16,"17,000",0,4,2004,테헤란로4길 13,202411~202611,신규,-,,
11179,서울특별시 관악구 남현동,602-58,602,58,관악산오피스텔,월세,25.53,202410,16,560,57,1,2000,승방6길 6,202410~202510,갱신,-,"1,000",43
11189,서울특별시 관악구 신림동,1425-1,1425,1,우정오피스텔,전세,21.05,202410,16,"18,900",0,9,2021,신림로70길 10,202411~202611,신규,-,,
11190,서울특별시 관악구 신림동,1432-31,1432,31,도라샘타워,전세,29.97,202410,16,"30,000",0,10,2023,신림동1길 20-5,202411~202611,신규,-,,
11237,서울특별시 중랑구 상봉동,Feb-92,92,2,시네마시티,전세,38.88,202410,16,"9,000",0,7,2000,망우로 328,202412~202612,신규,-,,
11281,서울특별시 도봉구 창동,585-1,585,1,ESA홈타운,전세,57.89,202410,15,"20,700",0,9,2005,덕릉로59차길 37,202412~202612,신규,-,,
11302,서울특별시 중구 광희동1가,Jan-89,89,1,광희동금호트윈 오피스텔,월세,22.14,202410,15,500,40,7,1999,마른내로 155,202410~202510,신규,-,,
11303,서울특별시 중구 황학동,951,951,0,소미골드라인,월세,36.26,202410,15,"25,500",8,2,2019,마장로18길 20,202412~202612,신규,-,,
11314,서울특별시 광진구 군자동,478-3,478,3,(478-3),월세,19.34,202410,15,"1,000",77,4,2020,군자로 184,202411~202611,신규,-,,
